threads,memory,parallel_ms,serial_ms,speed_up,efficiency
1,40960000,226,202,0.893805,0.893805
2,40960000,132,200,1.515152,0.757576
3,40960000,147,210,1.428571,0.476190
4,40960000,67,219,3.268657,0.817164
5,40960000,72,213,2.958333,0.591667
6,40960000,76,208,2.736842,0.456140
7,40960000,70,208,2.971429,0.424490
8,40960000,73,201,2.753425,0.344178
16,40960000,68,208,3.058824,0.191176
64,40960000,71,208,2.929577,0.045775
128,40960000,86,204,2.372093,0.018532
1024,40960000,205,205,1.000000,0.000977
4096,40960000,539,208,0.385900,0.000094
